ticker,weight
PH,0.0017058645495159187
SYK,0.001701682086547126
DHR,0.0016896550040387782
LMT,0.0016838215688454617
PWR,0.001681250054532113
NOW,0.001667301840707956
EQIX,0.001655004599108323
CME,0.001637564328881992
SO,0.0016232058734747719
HWM,0.0016035142774877271
CDNS,0.0015890657690500784
MDT,0.001571215257240684
SNPS,0.0015667326175037956
ADBE,0.0015665525114429387
TT,0.0015563765190045112
DUK,0.0015264589011176903
WMB,0.0014938597041025518
BNY,0.001492618973461092
MCK,0.0014628914675273977
CEG,0.0014286312923954658
TMUS,0.0014144129194800237
ADP,0.001414072719142849
CMCSA,0.0014101704211576113
FCX,0.0013937307401582645
INTU,0.0013884276172552493
BX,0.0013847754665767577
PNC,0.0013820438579870914
CMI,0.0013781815835709331
DELL,0.001366074453924427
ELV,0.0013571391921274603
GD,0.0013557783907787618
ICE,0.0013541774480155875
AMT,0.0013440214673616998
BSX,0.0013381179909224942
SLB,0.001337967902538447
USB,0.0013321244614528604
FDX,0.0013290626584182895
FTNT,0.0013254305195243374
JCI,0.0013238796062225123
CSX,0.0013238796062225123
CIEN,0.0012809743401694389
MAR,0.0012653051128748698
WM,0.001264784806476838
MMM,0.0012512768519125543
NXPI,0.001243172079173984
MRSH,0.0012384693098071592
MDLZ,0.0012337565345480646
MPWR,0.0012080914208759256
ORLY,0.0012037488636308148
EMR,0.0011979054225452284
EOG,0.0011943933543585147
ROST,0.0011834669199998493
CI,0.001175132011739073
VLO,0.001173991340020311
MPC,0.001170749430924883
UPS,0.001166947191862344
NOC,0.0011557405925201234
HLT,0.0011471155133835212
DDOG,0.0011419924965413632
CL,0.0011374798391276656
PSX,0.0011181584611546047
AEP,0.0011108841774744311
GM,0.001109843564678368
SHW,0.0011097935352170187
NSC,0.001105100771742464
COHR,0.0011048206067589082
-,0.001086910059595895
AON,0.0010856693289544347
MCO,0.0010731119341557858
TDG,0.001069209636170548
LITE,0.0010557617169598833
CRH,0.0010478770738512496
WBD,0.0010475768970831544
MSI,0.0010431242750230756
SPG,0.0010357199147433941
KMI,0.0010344991958864736
TRV,0.0010326180881397439
ITW,0.001030797015746633
BKR,0.0010195804105121425
APD,0.0010087440291839057
ECL,0.0010084038288467312
FIX,0.0010056221907957157
KKR,0.0010053220140276208
RCL,0.0010039612126789223
REGN,0.001003040670590097
DLR,0.0009707816739121333
MNST,0.0009683602479828322
HCA,0.0009614261646398332
TFC,0.0009514102664777234
SRE,0.0009467975501413272
